query,id,user,text,created_at,likes,retweets
Python,2029616189341614458,Ronald_vanLoon,"How #AgenticAI Works 
by @Python_Dv

#GenerativeAI #ArtificialIntelligence #MachineLearning #MI https://t.co/X6kJXUKXwg",Thu Mar 05 17:53:02 +0000 2026,41,11
Python,2029277638934839605,github,It's true: TypeScript surpassed Python and JavaScript to become the most-used language on GitHub. 📈 https://t.co/jBWpykmLH1,Wed Mar 04 19:27:45 +0000 2026,5552,603
Python,2027786127411745053,gemchange_ltd,"The scariest moment in algo trading

is finding out your strategy works on random data too.

neurotrader video shows the kill switch:
""How I Develop Trading Strategies | Permutation Tests and Trading Strategy Development with Python.""

21 minutes of pure framework.

I wrote a https://t.co/EBPuMNYiuy",Sat Feb 28 16:41:01 +0000 2026,2883,238
Python,2026879777685254645,piyush784066,"Skills That Pay in the AI Era (2026)

AI/ML: Python, PyTorch, Transformers, Fine-tuning, Evaluation
AI Stack: RAG, Vector Databases, Embeddings, Prompt Engineering, Agents
Backend: Node.js, Go, Rust, API Design, System Design
Frontend: React, Next.js (for AI apps &amp; dashboards)",Thu Feb 26 04:39:31 +0000 2026,474,58
Python,1763323374250381403,The_CheatSheets,"Python Plot in Excel‼️ #excel 

❤️ and follow for daily tips‼️

🗂️ Don’t forget to save this post!

📚 Show up to work on Monday as an Excel Guru! Start an Excel Course TODAY at https://t.co/N8viMNdlSz

🧑‍🏫 Save hours tracking your budget, goals, and MORE! Get your Excel templates https://t.co/L7xY2m43gU",Thu Feb 29 22:00:28 +0000 2024,517,129
Python,2026953264630219193,pushpendratips,"🌼 Free Full-Stack Web Development Courses

Learn step by step from scratch 👇
🔸 HTML
🔸 CSS
🔸 JavaScript
🔸 React
🔸 Python
🔸 Next.js
🔸 APIs
🔸 Node.js
🔸 TypeScript
🔸 AWS
🔸 DSA
🔸 OOP
🔸 JWT
🔸 SQL
🔸 Git &amp; GitHub
🔸 E-commerce Website
🔸 Handwritten Notes
🔸 React https://t.co/lH2kqcFyzu",Thu Feb 26 09:31:31 +0000 2026,145,59
Python,2029618501087023420,sachinyadav699,"When she finds out I'm a JavaScript/ Python/HTML developer instead of a
C++/Java/Rust developer

 https://t.co/prK3EqvFr6",Thu Mar 05 18:02:13 +0000 2026,197,14
Python,2029443545862443419,Ronald_vanLoon,"#AIAgent Vs #LLM Vs RAG Vs #AgenticAI
by @Python_Dv
 
#GenerativeAI #ArtificialIntelligence #MachineLearning #ML https://t.co/AM9IdnCtZ6",Thu Mar 05 06:27:01 +0000 2026,35,10
Python,2030333201303093463,khushabu_27,"Learn Data Science for FREE in 2026

1. Python
https://t.co/tLt0iRWkag

2. SQL
https://t.co/1NlcJMDoKY...

3. Excel
https://t.co/bhzxZwUGjb…

4. Power BI
https://t.co/Z5xHG55C0D…

5. Mathematics
https://t.co/gQbF6ebi8G…

6. Data Analysis
https://t.co/oDtAyqnlgn… https://t.co/Duzw2QhgPI",Sat Mar 07 17:22:11 +0000 2026,27,0
Python,2030174111964569845,Ronald_vanLoon,"Top 15 High Paying #AI Jobs 
by @Python_Dv

#ArtificialIntelligence #MachineLearning #ML #Technology https://t.co/Q3KnUJOtzS",Sat Mar 07 06:50:01 +0000 2026,31,16
Python,2029742008248496349,Python_Dv,When Other Languages Make It Complicated https://t.co/ClziHS7OfE,Fri Mar 06 02:13:00 +0000 2026,57,5
Python,2030199271719649399,clcoding,"Machine Learning Specialization

https://t.co/5PL8Jn8Tnx https://t.co/YpiwPCLUnn",Sat Mar 07 08:30:00 +0000 2026,337,38
