tweet_id,keyword,text,created_at,user_id,username,name,followers,verified,likes,retweets,replies,hashtags,media_count,media_info,is_reply,is_retweet
2030058536223351238,timeline,RT @BardiUpdatess: Cardi B’s Grow Good Beauty teases upcoming products for the hairline. 👀 https://t.co/nqwcfIw68N,Fri Mar 06 23:10:46 +0000 2026,866953267,,Cardi B,37093310,False,0,205,0,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/nqwcfIw68N""}]",False,True
2029449854234050710,timeline,Aw I love youuuuu!! Thank you for coming and turnin it up wit me!! ❤️❤️❤️,Thu Mar 05 06:52:05 +0000 2026,866953267,,Cardi B,37093310,False,16376,879,163,,0,[],False,False
2029446762553843835,timeline,I love you so so so so so soooooo much!! 😘😘😘😘😘😘😘 thank you for coming,Thu Mar 05 06:39:48 +0000 2026,866953267,,Cardi B,37093310,False,220116,15368,1163,,0,[],False,False
2029423477858455713,timeline,"RT @PopBase: Cardi B brings out Megan Thee Stallion to perform ‘WAP’ at the Little Miss Drama tour in Houston. 

 https://t.co/hs8MOarX15",Thu Mar 05 05:07:16 +0000 2026,866953267,,Cardi B,37093310,False,0,10496,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/hs8MOarX15""}]",False,True
2029423263114293255,timeline,"RT @updatesofcardi: Cardi B debuts her 4th new look tonight at her SOLD OUT show in Houston, TX🩷#LittleMissDramaTour https://t.co/1wegeMNXfV",Thu Mar 05 05:06:25 +0000 2026,866953267,,Cardi B,37093310,False,0,551,0,LittleMissDramaTour,1,"[{""type"": ""video"", ""url"": ""https://t.co/1wegeMNXfV""}]",False,False
2029370653959135247,timeline,RT @ToyotaCenter: OKURRR! ‍🔥 Bardi Gang took over and the Houston show is officially SOLD OUT! https://t.co/XJnEeffJUa,Thu Mar 05 01:37:22 +0000 2026,866953267,,Cardi B,37093310,False,0,451,0,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/XJnEeffJUa""}]",False,True
2029243131103768988,timeline,Thank you for all the love 💚 I can’t wait for y’all to see what’s coming with Grow Good Beauty https://t.co/hGccJuJWgr,Wed Mar 04 17:10:38 +0000 2026,866953267,,Cardi B,37093310,False,12697,1242,542,,1,"[{""type"": ""video"", ""url"": ""https://t.co/hGccJuJWgr""}]",False,False
2028505932179640648,timeline,"Dear blogs, when I perform a song I always introduce the song with a lil razzle dazzle.. not everything is a shot or personal. I’m actually repeating lyrics from the songs…Relax",Mon Mar 02 16:21:16 +0000 2026,866953267,,Cardi B,37093310,False,33092,2000,610,,0,[],False,False
2028311189705375890,timeline,RT @MMCenter_PHX: LITTLE MISS SOLD OUT (x10) 🩷 https://t.co/AlbmZKnWcM,Mon Mar 02 03:27:26 +0000 2026,866953267,,Cardi B,37093310,False,0,340,0,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/AlbmZKnWcM""}]",False,True
2027726214224290239,timeline,RT @BardisMedia: Cardi brought out Kulture tonight at her SOLD OUT show in San Francisco.🥹#LittleMissDramaTour https://t.co/PDzj7jes3h,Sat Feb 28 12:42:57 +0000 2026,866953267,,Cardi B,37093310,False,0,1648,0,LittleMissDramaTour,1,"[{""type"": ""video"", ""url"": ""https://t.co/PDzj7jes3h""}]",False,False
2027640717406097886,timeline,RT @SunnyBanks_: Kulture 😍😍 ready for the #LittleMissDramaTour https://t.co/DJ4CmcJahp,Sat Feb 28 07:03:13 +0000 2026,866953267,,Cardi B,37093310,False,0,829,0,LittleMissDramaTour,3,"[{""type"": ""photo"", ""url"": ""https://t.co/DJ4CmcJahp""}, {""type"": ""photo"", ""url"": ""https://t.co/DJ4CmcJahp""}, {""type"": ""photo"", ""url"": ""https://t.co/DJ4CmcJahp""}]",False,True
2027543771622347071,timeline,RT @statsbelcalis: The 9th show of Cardi B’s “Little Miss Drama Tour” is officially SOLD OUT! https://t.co/33MRJlTfp5,Sat Feb 28 00:37:59 +0000 2026,866953267,,Cardi B,37093310,False,0,264,0,,2,"[{""type"": ""photo"", ""url"": ""https://t.co/33MRJlTfp5""}, {""type"": ""photo"", ""url"": ""https://t.co/33MRJlTfp5""}]",False,True
2027536751347057147,timeline,RT @BardiUpdatess: Cardi B’s San Francisco stop at the Chase Center arena tonight has officially been announced as SOLD OUT! This is Cardi’…,Sat Feb 28 00:10:05 +0000 2026,866953267,,Cardi B,37093310,False,0,319,0,,0,[],False,True
2027155155515216376,timeline,https://t.co/uvfd6BdTKx,Thu Feb 26 22:53:46 +0000 2026,866953267,,Cardi B,37093310,False,67851,9670,551,,1,"[{""type"": ""video"", ""url"": ""https://t.co/uvfd6BdTKx""}]",False,False
2027151309338751427,timeline,Well…YES,Thu Feb 26 22:38:29 +0000 2026,866953267,,Cardi B,37093310,False,25643,1170,346,,0,[],False,False
